State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
MD,salisbury university,"8,133",2.0,0.0,1.0,1.0,0.0,26,1.0,25.0,0.0,0.0
MD,st marys college,"1,629",0.0,0.0,0.0,0.0,0.0,27,3.0,23.0,1.0,0.0
MD,towson university,"23,202",14.0,0.0,6.0,2.0,6.0,51,4.0,44.0,3.0,1.0
MD,university of maryland baltimore city,"8,094",9.0,0.0,0.0,2.0,7.0,63,2.0,47.0,14.0,0.0
MD,university of maryland baltimore county,"15,492",3.0,0.0,3.0,0.0,0.0,75,8.0,49.0,18.0,0.0
MD,university of maryland college park,"42,195",13.0,0.0,2.0,3.0,8.0,421,20.0,367.0,34.0,1.0
MA,amherst college,"2,041",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
MA,assumption college,"2,446",2.0,0.0,1.0,0.0,1.0,19,3.0,16.0,0.0,0.0
MA,babson college,"4,256",1.0,0.0,1.0,0.0,0.0,24,2.0,22.0,0.0,0.0
MA,bentley university,"5,458",0.0,0.0,0.0,0.0,0.0,20,1.0,19.0,0.0,0.0
MA,boston college,"16,849",5.0,0.0,5.0,0.0,0.0,63,0.0,62.0,1.0,0.0
MA,boston university,"43,952",10.0,0.0,3.0,1.0,6.0,408,10.0,398.0,0.0,0.0
MA,brandeis university,"6,026",2.0,0.0,0.0,1.0,1.0,22,2.0,20.0,0.0,0.0
MA,bridgewater state university,"11,696",3.0,0.0,0.0,0.0,3.0,9,0.0,8.0,1.0,0.0
MA,bristol community college,"8,201",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
MA,bunker hill community college,"13,498",0.0,0.0,0.0,0.0,0.0,6,0.0,4.0,2.0,0.0
MA,cape cod community college,"3,828",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
MA,clark university,"3,842",8.0,0.0,2.0,3.0,3.0,26,2.0,24.0,0.0,0.0
MA,college of holy cross,"3,323",1.0,0.0,1.0,0.0,0.0,13,2.0,9.0,2.0,2.0
MA,curry college,"2,609",0.0,0.0,0.0,0.0,0.0,13,3.0,10.0,0.0,0.0
MA,dean college,"1,370",0.0,0.0,0.0,0.0,0.0,6,1.0,5.0,0.0,0.0
MA,emerson college,"6,368",0.0,0.0,0.0,0.0,0.0,14,0.0,14.0,0.0,1.0
MA,endicott college,"4,851",3.0,0.0,2.0,0.0,1.0,7,0.0,7.0,0.0,0.0
MA,fisher college,"2,390",0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0
MA,fitchburg state university,"10,164",2.0,0.0,2.0,0.0,0.0,31,6.0,24.0,1.0,0.0
MA,framingham state university,"6,667",1.0,0.0,0.0,0.0,1.0,9,0.0,9.0,0.0,0.0
MA,gordon college,"2,233",1.0,0.0,1.0,0.0,0.0,19,0.0,19.0,0.0,0.0
MA,greenfield community college,"2,042",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
MA,harvard university,"39,374",22.0,0.0,8.0,2.0,12.0,534,28.0,366.0,140.0,2.0
MA,holyoke community college,"4,913",1.0,0.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0
MA,lasell college,"2,057",1.0,0.0,0.0,0.0,1.0,6,0.0,6.0,0.0,0.0
MA,massachusetts bay community college,"5,733",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
